cell_id,x_original,y_original,x_cropped,y_cropped,x_standardized,y_standardized
196,7500.341733055691,19419.992162085422,2019.3417330556913,13199.992162085422,858.2202365486688,5609.996668886304
197,8097.308364546381,19379.404993140044,2616.308364546381,13159.404993140044,1111.931054932212,5592.747122084518
198,7539.893008230381,19373.135285257446,2058.8930082303814,13153.135285257446,875.0295284979121,5590.082496234414
199,7619.132437566496,19420.985894184607,2138.1324375664963,13200.985894184607,908.7062859657609,5610.419005028458
200,7511.694592425722,19374.89325879555,2030.6945924257216,13154.89325879555,863.0452017809316,5590.829634988108
201,7634.405232130364,19452.360909902352,2153.4052321303643,13232.360909902352,915.1972236554049,5623.753386708499
202,7600.591157502784,19395.593036952516,2119.591157502784,13175.593036952516,900.8262419386832,5599.627040704819
203,7536.132487555407,19411.279145680695,2055.1324875554074,13191.279145680695,873.4313072110481,5606.293636914295
204,7672.9156971717985,19448.031867129885,2191.9156971717985,13228.031867129885,931.5641712980143,5621.9135435302005
205,7691.213889691975,19435.717558305314,2210.213889691975,13215.717558305314,939.3409031190894,5616.679962279758
206,7939.904398749572,19442.452642340348,2458.9043987495716,13222.452642340348,1045.0343694685678,5619.542372994648
207,7689.254319578706,19390.553212798928,2208.2543195787057,13170.553212798928,938.5080858209499,5597.485115439545
208,7712.436681082033,19448.846317557116,2231.436681082033,13228.846317557116,948.360589459864,5622.259684961774
209,7708.126284115978,19416.778258053808,2227.126284115978,13196.778258053808,946.5286707492905,5608.630759672868
210,7713.298328638753,19377.668991055572,2232.2983286387534,13157.668991055572,948.7267896714702,5592.009321198618
211,7729.777518705657,19394.909269324307,2248.777518705657,13174.909269324307,955.7304454499041,5599.336439462831
212,7738.188645691822,19416.674125927886,2257.188645691822,13196.674125927886,959.3051744190243,5608.586503519351
213,7750.270436989148,19377.22087892681,2269.270436989148,13157.220878926812,964.4399357203879,5591.818873543894
214,7759.169414137835,19459.516274559803,2278.169414137835,13239.516274559803,968.2220010085798,5626.794416687916
215,7751.697664894128,19435.81541739873,2270.697664894128,13215.815417398731,965.0465075800045,5616.721552394461
216,7779.071602086114,19433.976299140602,2298.0716020861137,13213.976299140602,976.6804308865983,5615.939927134756
217,7763.1045749847235,19415.72617125571,2282.1045749847235,13195.726171255708,969.8944443685075,5608.183622783676
218,7776.516650316099,19396.981521033787,2295.516650316099,13176.981521033787,975.5945763843421,5600.21714643936
219,7798.590639870528,19379.021837936674,2317.5906398705283,13159.021837936674,984.9760219449745,5592.584281123087
220,7790.500599545746,19445.572958789813,2309.500599545746,13225.572958789813,981.537754806942,5620.86850748567
221,7801.747439367349,19401.897751029825,2320.747439367349,13181.897751029825,986.3176617311234,5602.306544187675
222,7809.416316165911,19428.35646718782,2328.4163161659108,13208.35646718782,989.576934370512,5613.551498554823
223,8056.97605451595,19434.02907306683,2575.9760545159497,13214.029073066831,1094.7898231692786,5615.962356053403
224,7838.09907087118,19401.077375102974,2357.0990708711797,13181.077375102974,1001.7671051202514,5601.957884418764
225,7840.156931906983,19462.348342685164,2359.156931906983,13242.348342685164,1002.6416960604678,5627.998045641194
226,7822.225038699123,19446.44935357612,2341.2250386991227,13226.449353576121,995.0206414471271,5621.240975269851
227,7884.9125783386535,19456.2280529256,2403.9125783386535,13236.228052925599,1021.6628457939277,5625.396922493379
228,7888.962327697429,19398.811549057726,2407.962327697429,13178.811549057726,1023.3839892714072,5600.994908349533
